order_id,voucher_amount,date_time,eta_seconds,food_price,cust_id,rating,delivery_fee,resto_id,status,random_id
FOOD-10542,0,2018-08-22T16:48:36.352805,2004,50400,1079631,,7000,742687000,Completed,0.2271260706
FOOD-10576,0,2018-08-25T16:12:34.295277,1052,27900,1089034,5,4000,742594125,Completed,0.1953540175
FOOD-10143,0,2018-07-14T19:50:56.910854,1855,83700,614144,5,4000,742663872,Completed,0.9796603624
FOOD-10472,0,2018-08-15T13:30:32.475695,1560,183600,1383625,,14000,742549966,Completed,0.3948588257
FOOD-10719,0,2018-09-07T13:03:32.489824,160,78500,1472725,,21000,742765974,Cancelled,0.3868752121
FOOD-10525,0,2018-08-20T19:16:35.637155,280,81000,1094787,,9000,742620545,Cancelled,0.3840380751
FOOD-10319,0,2018-07-31T22:36:57.421119,1966,35100,1404077,,4000,742650491,Completed,0.4701048459
FOOD-10081,0,2018-07-08T17:45:56.698308,1009,34900,1230166,5,4000,742641772,Completed,0.09288184514
FOOD-10217,0,2018-07-22T00:17:45.764720,849,29400,1404077,5,12000,742605418,Completed,0.01902742401
FOOD-10109,0,2018-07-11T12:49:00.138757,60,27500,1284060,,2000,742753560,Cancelled,0.3760576961
FOOD-10536,0,2018-08-21T21:02:17.920834,1226,20900,1089034,5,5000,742542838,Completed,0.8135402357
FOOD-10007,3000,2018-07-01T17:26:25.337694,1126,42300,1347550,5,7000,742604525,Completed,0.08239622331
FOOD-10123,0,2018-07-12T18:35:01.500974,971,57000,1206592,,4000,742691600,Completed,0.8089966847
FOOD-10520,0,2018-08-19T20:13:01.312002,1923,106400,589253,5,4000,742534610,Completed,0.3262508336
FOOD-10474,0,2018-08-15T14:34:50.101432,20,90100,697545,,17000,742784023,Cancelled,0.9094899184
FOOD-10875,0,2018-09-17T17:04:45.589839,2463,127700,70701,,9000,742781399,Completed,0.2476580027
FOOD-10344,0,2018-08-03T16:33:11.090614,3,29500,1240387,,9000,742639682,Cancelled,0.4883272459
FOOD-10917,5000,2018-09-20T14:04:23.420847,1422,48900,519859,5,4000,742759889,Completed,0.8792221274
FOOD-10152,0,2018-07-15T16:38:39.132367,1755,47000,697545,5,9000,742669355,Completed,0.9230883918
FOOD-10848,0,2018-09-16T13:44:04.620649,122,89200,361927,,38000,742792299,Cancelled,0.2230040585
FOOD-10854,0,2018-09-16T14:01:56.620406,247,88500,361927,,29000,742622470,Cancelled,0.8847414023
FOOD-10633,0,2018-08-31T11:47:18.090120,2474,397600,1505030,4,21000,742526724,Completed,0.7345079189
FOOD-10764,0,2018-09-10T20:59:45.659483,3198,155100,1379865,,10000,742735098,Completed,0.1368645099
FOOD-10966,0,2018-09-22T19:32:03.341169,1261,40000,193679,5,5000,742606500,Completed,0.5828609548
FOOD-10548,5000,2018-08-22T22:04:27.847795,1197,50600,316834,5,5000,742525710,Completed,0.983380821
FOOD-10038,0,2018-07-04T17:26:12.520159,2042,82200,1135466,5,4000,742643190,Completed,0.04182006708
FOOD-10104,0,2018-07-10T20:25:22.671773,1691,215000,1194303,5,6000,742652462,Completed,0.9632695428
FOOD-10678,5000,2018-09-02T19:28:44.461176,2244,101000,630004,5,10000,742554079,Completed,0.4162915299
FOOD-10857,0,2018-09-16T14:09:59.678457,1731,59300,410472,,20000,742591683,Completed,0.7810096731
FOOD-10710,0,2018-09-06T18:11:00.866458,2123,18400,293834,5,6000,742641833,Completed,0.04021783501
FOOD-10722,0,2018-09-07T16:35:42.350442,485,48400,366528,,16000,200009033,Cancelled,0.0252068653
FOOD-11000,5000,2018-09-24T17:39:11.310179,2019,118000,1135466,,5000,742784386,Completed,0.1261976922
FOOD-10309,0,2018-07-30T19:57:57.257522,2470,193800,511038,5,13000,742536407,Completed,0.8487378893
FOOD-10955,0,2018-09-22T15:43:45.367594,1417,111900,1194303,5,4000,742540911,Completed,0.9029081514
FOOD-10758,5000,2018-09-10T13:43:18.988760,1504,52200,1094787,5,4000,742586988,Completed,0.2362345874
FOOD-10605,0,2018-08-28T17:01:49.698140,915,54600,472466,5,13000,742602057,Completed,0.3567741144
FOOD-11059,0,2018-09-30T12:27:32.690107,4095,44700,843879,,22000,742598967,Completed,0.6838612006
FOOD-10415,0,2018-08-10T00:12:20.710277,1330,48900,316834,5,7000,742676756,Completed,0.5784762709
FOOD-10851,0,2018-09-16T13:51:51.733841,2690,265700,361927,,13000,742525319,Completed,0.3677761583
FOOD-10832,0,2018-09-15T15:53:57.551644,1267,57900,1404077,,10000,742527275,Completed,0.7975346988
FOOD-10887,0,2018-09-18T09:21:06.256846,140,120800,1351793,,20000,742593551,Cancelled,0.1277040564
FOOD-10245,0,2018-07-24T14:03:31.630411,1984,80700,366721,5,6000,742716105,Completed,0.5297004167
FOOD-10668,2000,2018-09-02T11:28:28.567266,868,27100,1081470,5,0,742574136,Completed,0.6775886046
FOOD-10356,0,2018-08-04T11:45:47.451544,1357,111300,472466,5,6000,742602057,Completed,0.2382096494
FOOD-11010,25000,2018-09-25T17:13:25.961065,627,106500,1081809,,0,742527751,Cancelled,0.3538903589
FOOD-10196,5000,2018-07-20T13:19:55.784449,1761,79800,366721,5,4000,742527385,Completed,0.6627055053
FOOD-11058,0,2018-09-30T12:26:28.147983,4,40700,843879,,22000,742598967,Cancelled,0.7919011267
FOOD-10043,0,2018-07-05T02:14:42.705266,1139,168400,1548571,5,12000,742586896,Completed,0.6560378714
FOOD-10191,5000,2018-07-19T18:00:42.922609,2328,162000,866805,5,0,742534293,Completed,0.1902562631
FOOD-10441,0,2018-08-12T07:49:24.372746,889,22100,158214,5,4000,742610474,Completed,0.4120625437
FOOD-10811,0,2018-09-14T18:51:41.340585,31,58500,1479204,,4000,742682475,Cancelled,0.1830520712
FOOD-10034,0,2018-07-04T14:32:43.483011,1628,69800,1305973,,9000,742636848,Completed,0.3054561958
FOOD-10582,0,2018-08-25T20:49:28.694474,1244,101500,1406088,,8000,742598572,Completed,0.8276582046
FOOD-10259,0,2018-07-25T17:06:58.342975,2575,102300,532173,5,8000,742578635,Completed,0.9015422715
FOOD-10270,5000,2018-07-26T19:35:08.594649,663,156800,1481304,,6000,742684501,Cancelled,0.2651151661
FOOD-10507,0,2018-08-18T19:28:27.615481,1815,67400,1050269,5,4000,742732429,Completed,0.7499125638
FOOD-10757,0,2018-09-09T22:14:22.172861,2401,82400,589253,3,9000,742534610,Completed,0.2902182429
FOOD-11014,0,2018-09-25T18:53:24.968098,929,27700,805438,,2000,742722311,Completed,0.3355824
FOOD-10774,0,2018-09-11T19:35:05.753843,1522,27600,366528,,12000,742592813,Completed,0.3419211363
FOOD-10102,0,2018-07-10T19:42:05.842225,992,58300,1479204,5,4000,742682475,Completed,0.526508321
FOOD-10661,0,2018-09-01T18:27:11.455568,1186,62400,1191779,,9000,742618679,Completed,0.3940881934
FOOD-10362,0,2018-08-04T21:14:33.702287,2115,34100,1284060,5,9000,742726062,Completed,0.2931303238
FOOD-10567,4000,2018-08-24T18:34:02.886450,698,18400,906222,,0,742634722,Completed,0.3850436521
FOOD-10389,0,2018-08-06T17:19:37.427002,3362,92000,1514562,5,11000,742661458,Completed,0.6663998814
FOOD-10312,0,2018-07-31T10:48:36.761791,2142,84700,638765,5,6000,742548494,Completed,0.3056028077
FOOD-10346,0,2018-08-03T17:40:30.222874,4380,115800,1379631,,28000,742544360,Completed,0.393373787
FOOD-10367,0,2018-08-05T07:42:10.186648,1064,22300,158214,5,4000,742610474,Completed,0.8937337634
FOOD-10129,0,2018-07-13T19:22:57.396913,1457,41700,366528,5,14000,742586883,Completed,0.6073676219
FOOD-10673,0,2018-09-02T18:34:45.672363,1308,27100,943758,,9000,742632178,Completed,0.2247314532
FOOD-10510,0,2018-08-18T21:03:40.084299,3563,189400,123830,5,24000,742579094,Completed,0.881974245
FOOD-10613,0,2018-08-29T12:33:11.303658,143,27200,103236,,16000,742531665,Cancelled,0.8944501765
FOOD-10025,0,2018-07-03T17:26:54.054508,3548,62600,193679,5,14000,742548919,Completed,0.1296857852
FOOD-10088,0,2018-07-09T12:30:36.020765,711,23100,1284060,5,9000,742696405,Completed,0.1660267351
FOOD-11054,0,2018-09-29T18:40:30.632269,1427,23300,82690,,2000,742572898,Completed,0.04676912194
FOOD-10625,0,2018-08-30T16:09:06.067136,2033,45300,180146,5,11000,742767245,Completed,0.4745474197
FOOD-10478,0,2018-08-15T19:34:18.308859,220,28400,1081809,,4000,742650622,Cancelled,0.8224041806
FOOD-10397,0,2018-08-07T15:01:58.415801,502,27300,1364703,,16000,742656058,Cancelled,0.2868077809
FOOD-10620,0,2018-08-30T13:08:32.944204,1386,46800,1383625,,13000,742548483,Completed,0.01351022403
FOOD-10076,0,2018-07-08T14:46:46.775365,2436,173200,511038,5,13000,742536407,Completed,0.1128475202
FOOD-11044,0,2018-09-28T16:13:23.674120,196,63300,161917,,28000,742541160,Cancelled,0.2443787835
FOOD-10539,0,2018-08-22T13:03:11.869037,532,77200,1472725,,12000,742617670,Cancelled,0.7211045537
FOOD-10225,0,2018-07-22T18:19:50.548687,5,107400,1514562,,16000,742730950,Cancelled,0.3950577746
FOOD-10212,0,2018-07-21T18:55:34.457186,2723,448500,1484937,5,13000,742526785,Completed,0.4692350529
FOOD-10739,0,2018-09-08T18:49:42.920796,1163,20400,1379865,,9000,742638618,Completed,0.3828648384
FOOD-10621,0,2018-08-30T14:45:51.777151,289,31300,1305973,,10000,742527157,Cancelled,0.4179290153
FOOD-10075,3000,2018-07-08T13:58:14.560420,2930,53100,410472,5,22000,742591683,Completed,0.4715507373
FOOD-11033,0,2018-09-27T17:16:26.656803,189,52500,304856,,21000,742608079,Cancelled,0.2260799187
FOOD-10687,0,2018-09-03T19:40:45.150056,3833,227600,1061640,5,18000,742637765,Completed,0.2322129421
FOOD-10377,0,2018-08-05T17:32:46.827919,816,75700,1191779,,13000,742550112,Completed,0.05372784078
FOOD-10642,0,2018-09-01T00:50:26.816811,151,154700,352393,,16000,742538073,Cancelled,0.06442578182
FOOD-10574,0,2018-08-25T12:21:35.708163,2275,61500,912287,5,10000,742662360,Completed,0.03620520871
FOOD-10743,10000,2018-09-09T13:18:17.314514,1433,54700,845548,5,0,742703390,Completed,0.316184794
FOOD-10598,0,2018-08-27T15:40:45.751883,767,53500,1406088,,9000,742671853,Completed,0.691410556
FOOD-10363,0,2018-08-04T21:39:01.863586,2476,113600,617777,5,4000,742664135,Completed,0.03375870536
FOOD-10416,0,2018-08-10T09:35:00.493570,206,138600,1505030,,18000,742541893,Cancelled,0.6252828407
FOOD-10167,0,2018-07-16T20:14:44.133321,2390,34600,884440,5,9000,742711879,Completed,0.7596321149
FOOD-10577,0,2018-08-25T17:57:38.463164,1887,105300,1406088,,7000,742528476,Completed,0.4921357702
FOOD-10578,0,2018-08-25T18:17:33.307607,1020,32700,594840,,4000,742574131,Completed,0.3762537265
FOOD-10597,0,2018-08-27T14:34:43.717444,1983,48500,1472725,5,4000,742579934,Completed,0.6209528125
FOOD-10169,0,2018-07-17T13:47:55.537703,2710,62200,697545,5,10000,742541138,Completed,0.07875864585
FOOD-10428,0,2018-08-11T11:55:16.100242,2171,36600,466885,,18000,742731698,Completed,0.4510776595
FOOD-10641,0,2018-08-31T22:33:32.044342,2007,27200,1481304,,9000,742539178,Completed,0.2303078594
FOOD-10808,0,2018-09-14T18:29:20.847993,77,141600,361927,,13000,742537825,Cancelled,0.736626246
FOOD-10861,0,2018-09-16T15:33:47.022646,2142,174100,1240387,5,9000,742534048,Completed,0.2039118242
FOOD-10188,5000,2018-07-19T12:21:27.704339,76,122200,725307,,8000,742560885,Cancelled,0.8246835484
FOOD-11011,25000,2018-09-25T17:24:33.355489,2890,110900,1081809,,0,742527751,Completed,0.7049285719
FOOD-10124,0,2018-07-12T21:52:42.256903,1515,57000,1081809,5,4000,742601228,Completed,0.5248467439
FOOD-10354,0,2018-08-04T10:33:08.302622,1440,120400,647544,5,4000,742642064,Completed,0.3748271193
FOOD-10298,0,2018-07-29T16:24:11.098848,1544,48200,1094787,5,9000,742618909,Completed,0.644472589
FOOD-10864,0,2018-09-16T18:57:37.846769,123,250000,1045751,,21000,742678777,Cancelled,0.3408853121
FOOD-10220,0,2018-07-22T12:50:01.702254,2133,99800,630004,5,10000,742539035,Completed,0.03324799748
FOOD-10168,0,2018-07-17T12:50:07.745676,2011,27600,357568,5,9000,742758118,Completed,0.4554749205
FOOD-10445,0,2018-08-12T12:23:05.335436,1502,57800,1240387,5,10000,742639682,Completed,0.4712148847
FOOD-10012,0,2018-07-02T12:26:59.856025,3366,77700,1211635,5,0,200006947,Completed,0.1853260803
FOOD-10694,0,2018-09-04T19:12:41.402980,1633,114200,1544551,5,9000,742589437,Completed,0.3455604973
FOOD-10440,0,2018-08-11T22:37:21.740749,1535,23900,884440,3,4000,742763083,Completed,0.9041358326
FOOD-10483,0,2018-08-16T16:58:41.524429,1587,63800,366528,,34000,742582839,Cancelled,0.3333688505
FOOD-10378,0,2018-08-05T17:40:10.105792,2787,224200,1383625,,17000,742549302,Completed,0.9151927481
FOOD-10186,5000,2018-07-19T11:50:49.054752,265,122400,725307,,14000,742560885,Cancelled,0.1707833564
FOOD-10776,0,2018-09-11T20:51:12.484554,1363,34200,1542763,5,4000,742599969,Completed,0.1040574891
FOOD-10883,0,2018-09-17T21:36:34.583843,1468,24700,1383625,,9000,742587499,Completed,0.6149445604
FOOD-10118,0,2018-07-12T09:05:19.068435,3065,17000,1089034,5,4000,742736152,Completed,0.1801197342
FOOD-10603,0,2018-08-28T12:55:59.553162,1681,29700,1094787,5,9000,742652951,Completed,0.3555521232
FOOD-10207,0,2018-07-21T11:23:03.798532,1958,63700,687194,5,2000,742538031,Completed,0.01102216988
FOOD-10984,0,2018-09-23T16:27:11.066481,1920,27900,366528,,9000,742592813,Completed,0.5104987972
FOOD-10434,0,2018-08-11T17:27:57.826655,2344,47900,697545,5,15000,742577245,Completed,0.3521022949
FOOD-10600,4000,2018-08-27T19:13:29.491809,1223,22100,906222,,0,742634722,Completed,0.4378969298
FOOD-10280,0,2018-07-28T12:38:37.948793,1726,45400,466885,5,21000,742541181,Completed,0.106380919
FOOD-10029,0,2018-07-03T21:37:15.644905,3542,182200,511038,5,15000,742564675,Completed,0.5487576835
FOOD-10914,0,2018-09-20T10:39:18.302261,2083,31300,352393,5,5000,742543367,Completed,0.1670727372
FOOD-10085,0,2018-07-08T19:08:34.508367,340,88400,912287,,9000,742667755,Cancelled,0.1349997518
FOOD-11027,0,2018-09-27T07:11:53.908030,1302,16300,193679,,4000,742609078,Completed,0.4575868464
FOOD-10797,0,2018-09-14T12:09:06.582938,1350,20100,815241,,9000,742809792,Completed,0.6014009446
FOOD-10991,0,2018-09-23T20:39:42.347335,2802,127200,395715,,4000,742592298,Completed,0.3226235266
FOOD-10248,5000,2018-07-24T18:06:33.002719,671,45500,1406088,5,5000,742549592,Completed,0.9632233512
FOOD-10643,0,2018-09-01T00:53:11.060722,153,155200,352393,,16000,742538073,Cancelled,0.2829866805
FOOD-10114,0,2018-07-11T19:58:55.278907,2048,96700,588886,5,12000,742550049,Completed,0.7398315806
FOOD-10095,0,2018-07-10T13:31:57.758124,1608,55200,687194,5,10000,742538031,Completed,0.9564689901
FOOD-10127,6000,2018-07-13T13:22:59.560337,1618,55500,616763,5,7000,742570186,Completed,0.02559888606
FOOD-10975,0,2018-09-23T13:30:09.732114,2400,78200,380092,,9000,742568579,Completed,0.7936059137
FOOD-10330,0,2018-08-01T19:32:35.324726,1017,37800,1404077,,10000,742527275,Completed,0.2802931653
FOOD-10624,0,2018-08-30T14:59:41.080614,1198,39900,697545,5,9000,742533682,Completed,0.07183762545
FOOD-10623,0,2018-08-30T14:56:51.913457,78,36800,697545,,9000,742533682,Cancelled,0.3701228147
FOOD-10849,0,2018-09-16T13:46:33.062667,201,89200,361927,,36000,742622470,Cancelled,0.2418899599
FOOD-11076,0,2018-09-30T20:17:40.796955,1281,22500,884440,5,4000,742660240,Completed,0.3664867409
FOOD-10369,0,2018-08-05T11:35:28.827164,2194,89800,1194303,5,13000,742677213,Completed,0.3988396263
FOOD-10533,0,2018-08-21T18:23:56.351269,1793,64400,463180,5,11000,742664497,Completed,0.2216279363
FOOD-10475,0,2018-08-15T14:35:30.088790,2120,106300,697545,5,17000,742784023,Completed,0.04583996071
FOOD-11074,0,2018-09-30T19:32:04.254785,3848,54100,62551,5,12000,742596445,Completed,0.4788777731
FOOD-10121,0,2018-07-12T12:30:31.465527,846,33300,854144,5,2000,742528179,Completed,0.8849552336
FOOD-10241,0,2018-07-23T19:12:06.919923,2514,52100,1514562,5,11000,742566351,Completed,0.820657947
FOOD-10417,0,2018-08-10T13:25:33.075520,295,174000,647544,,7000,742724283,Cancelled,0.5767083328
FOOD-10993,0,2018-09-24T13:08:43.093248,581,50200,357568,,9000,742637826,Completed,0.3311729527
FOOD-10166,0,2018-07-16T19:59:55.256868,2844,91000,463180,5,4000,742749570,Completed,0.9931411587
FOOD-10987,0,2018-09-23T18:05:56.209956,1456,22900,929284,5,4000,742711940,Completed,0.5646878195
FOOD-10965,0,2018-09-22T19:30:35.227654,1328,59200,395715,,4000,742688374,Completed,0.699396402
FOOD-10654,0,2018-09-01T17:22:30.082466,1701,12900,1284060,5,9000,742624235,Completed,0.7169854608
FOOD-10850,0,2018-09-16T13:50:02.085816,148,89700,361927,,33000,742622470,Cancelled,0.2526540287
FOOD-10728,0,2018-09-07T21:05:23.118456,1640,70000,733533,5,6000,742534521,Completed,0.6401979509
FOOD-10537,5000,2018-08-22T01:17:38.105497,1326,49600,316834,5,4000,742676756,Completed,0.4369218088
FOOD-10777,0,2018-09-11T23:34:56.503988,1868,88400,161917,5,9000,742646296,Completed,0.00349703732
FOOD-10653,15000,2018-09-01T17:09:00.221986,579,37600,929284,,0,742642740,Cancelled,0.05554142926
FOOD-10583,0,2018-08-25T22:12:58.760547,826,34100,1081809,,4000,742586896,Completed,0.3585223107
FOOD-10327,5000,2018-08-01T16:07:12.302709,1999,69100,1135466,5,1000,742641984,Completed,0.1938013903
FOOD-10761,0,2018-09-10T18:13:27.798786,1549,71500,733533,5,9000,742534521,Completed,0.1339632902
FOOD-10867,0,2018-09-16T21:25:48.266752,615,70200,1079631,,10000,742625025,Completed,0.5208522359
FOOD-10517,0,2018-08-19T18:34:12.763690,1157,37100,594262,,9000,742594499,Completed,0.9640565706
FOOD-10779,0,2018-09-12T13:46:23.877145,2129,60000,697545,5,10000,742541138,Completed,0.8179204976
FOOD-10302,5000,2018-07-30T14:07:20.063743,2693,100500,366721,5,4000,742576373,Completed,0.1971983438
FOOD-11002,0,2018-09-24T22:28:41.707976,2087,156200,352393,,4000,742621821,Completed,0.3589700133
FOOD-10780,0,2018-09-12T14:53:51.090161,2337,175700,366528,,9000,742560850,Completed,0.7703250521
FOOD-10481,4000,2018-08-16T14:40:36.759236,1337,22100,1232372,5,0,742678784,Completed,0.4064372393
FOOD-10612,0,2018-08-29T11:53:32.816052,1542,54900,352393,5,2000,742700016,Completed,0.849714078
FOOD-10969,5000,2018-09-22T22:00:57.978565,1760,103100,62551,5,4000,742541122,Completed,0.06007459206
FOOD-10226,0,2018-07-22T18:20:22.005268,2726,108000,1514562,5,16000,742730950,Completed,0.09756992558
FOOD-10035,0,2018-07-04T14:35:39.537841,1900,61800,1305973,5,9000,742686616,Completed,0.1684960587
FOOD-10163,0,2018-07-16T17:58:53.292984,2206,28600,1347550,5,14000,742602057,Completed,0.1349780007
FOOD-10647,0,2018-09-01T08:45:24.084618,2079,20400,366528,,4000,742586883,Completed,0.4035885794
FOOD-10094,0,2018-07-10T13:30:50.816557,3,48400,687194,,10000,742538031,Cancelled,0.6349399442
FOOD-10690,0,2018-09-04T12:40:25.124382,871,23300,1113881,,5000,742745949,Completed,0.8460020199
FOOD-10103,0,2018-07-10T19:54:23.313221,1566,65600,1211635,5,9000,742567102,Completed,0.5342925928
FOOD-10566,0,2018-08-24T16:08:36.155263,2037,57800,630004,5,4000,742560892,Completed,0.2395667309
FOOD-10495,0,2018-08-18T07:11:57.386741,2499,72900,1191779,,5000,742545559,Completed,0.5310205617
FOOD-10347,0,2018-08-03T18:44:31.215983,1554,37700,1011942,5,9000,742766690,Completed,0.163433384
FOOD-10826,0,2018-09-15T12:35:03.772779,2479,100600,675089,,12000,742648367,Completed,0.4050888687
FOOD-10213,0,2018-07-21T21:44:39.447772,1667,146100,1379631,5,9000,742621787,Completed,0.7283384307
FOOD-10599,0,2018-08-27T16:43:10.861272,2568,131900,675089,,9000,742636870,Completed,0.72836037
FOOD-10470,0,2018-08-15T09:21:28.752622,1561,56600,1472725,5,4000,742680661,Completed,0.5286472078
FOOD-10100,0,2018-07-10T15:26:15.441453,3609,39900,304856,5,21000,742608079,Completed,0.3149651534
FOOD-10753,0,2018-09-09T18:00:51.509728,20,177400,1220358,,9000,742610031,Cancelled,0.7413143776
FOOD-10156,0,2018-07-15T22:01:37.527609,1392,40700,884440,5,4000,742660240,Completed,0.8008139818
FOOD-10490,5000,2018-08-17T14:09:49.882670,1366,71800,1044732,5,5000,742663987,Completed,0.7388583855
FOOD-10982,0,2018-09-23T15:53:13.903397,2340,300300,366721,5,37000,742628548,Completed,0.1635915144
FOOD-10376,0,2018-08-05T17:10:59.354813,1106,37700,1406088,,10000,742549592,Completed,0.9237204955
FOOD-10051,0,2018-07-06T12:35:07.512306,2489,69500,697545,5,10000,742541138,Completed,0.8269344615
FOOD-10299,5000,2018-07-29T17:20:10.031393,1149,26300,1094787,5,4000,742718214,Completed,0.7594499791
FOOD-10276,0,2018-07-27T17:48:44.969359,1471,43400,357568,5,9000,742627192,Completed,0.3996391254
FOOD-10358,5000,2018-08-04T14:52:10.408471,2709,114300,949010,,12000,742570145,Completed,0.9991236119
FOOD-10210,0,2018-07-21T12:54:21.638650,735,18700,1061640,5,5000,742652622,Completed,0.6383137296
FOOD-10069,0,2018-07-07T15:12:56.659909,6,45500,943758,,10000,742535296,Cancelled,0.7379987032
FOOD-10894,0,2018-09-18T12:46:34.404232,1746,200100,361927,,11000,742723391,Completed,0.08618334836
FOOD-10611,0,2018-08-29T11:30:39.337738,846,17100,395715,,2000,742673846,Completed,0.2559647943
FOOD-10814,0,2018-09-14T19:41:33.668598,1259,39900,1319474,5,6000,742747337,Completed,0.1186818359
FOOD-10406,0,2018-08-09T13:26:36.218889,11,57000,472361,,9000,742717320,Cancelled,0.291876129
FOOD-10071,0,2018-07-07T20:17:57.994172,1609,212300,1379631,,13000,742585664,Cancelled,0.04556788428
FOOD-10084,3000,2018-07-08T19:03:48.788538,2072,24600,316834,5,7000,742741233,Completed,0.7979183426
